# time[S]; data[V]
7.689995999999999955e-07;5.970700000000000313e-02
7.690996000000000030e-07;6.046859999999999735e-02
7.691996000000000105e-07;5.933410000000000073e-02
7.692996000000000180e-07;5.979190000000000199e-02
7.693996000000000255e-07;6.054949999999999916e-02
7.694996000000000330e-07;6.044469999999999704e-02
7.695996000000000405e-07;6.111479999999999690e-02
7.696995999999999422e-07;6.194410000000000194e-02
7.697995999999999497e-07;6.146240000000000037e-02
7.698995999999999572e-07;6.227049999999999946e-02
7.699995999999999647e-07;6.180469999999999714e-02
7.700995999999999722e-07;6.207279999999999742e-02
7.701995999999999797e-07;6.247740000000000238e-02
7.702995999999999872e-07;6.356019999999999726e-02
7.703995999999999948e-07;6.313950000000000118e-02
7.704996000000000023e-07;6.304529999999999856e-02
7.705996000000000098e-07;6.348719999999999364e-02
7.706996000000000173e-07;6.280650000000000122e-02
7.707996000000000248e-07;6.304139999999999744e-02
7.708996000000000323e-07;6.379769999999999885e-02
7.709996000000000398e-07;6.338240000000000540e-02
7.710995999999999415e-07;6.291130000000000333e-02
7.711995999999999490e-07;6.421430000000000193e-02
7.712995999999999565e-07;6.373800000000000299e-02
7.713995999999999640e-07;6.370879999999999599e-02
7.714995999999999715e-07;6.384280000000000510e-02
7.715995999999999790e-07;6.410019999999999607e-02
7.716995999999999865e-07;6.448629999999999640e-02
7.717995999999999941e-07;6.368749999999999412e-02
7.718996000000000016e-07;6.403520000000000045e-02
7.719996000000000091e-07;6.404579999999999995e-02
7.720996000000000166e-07;6.431510000000000005e-02
7.721996000000000241e-07;6.441860000000000641e-02
7.722996000000000316e-07;6.449689999999999590e-02
7.723996000000000391e-07;6.445049999999999391e-02
7.724996000000000466e-07;6.441729999999999678e-02
7.725995999999999483e-07;6.414400000000000657e-02
7.726995999999999558e-07;6.402460000000000095e-02
7.727995999999999633e-07;6.438149999999999429e-02
7.728995999999999708e-07;6.365569999999999562e-02
7.729995999999999783e-07;6.328019999999999479e-02
7.730995999999999858e-07;6.375119999999999398e-02
7.731995999999999934e-07;6.435889999999999667e-02
7.732996000000000009e-07;6.442390000000000616e-02
7.733996000000000084e-07;6.441729999999999678e-02
7.734996000000000159e-07;6.366230000000000500e-02
7.735996000000000234e-07;6.434829999999999717e-02
7.736996000000000309e-07;6.441070000000000129e-02
7.737996000000000384e-07;6.439739999999999354e-02
7.738996000000000459e-07;6.421029999999999793e-02
7.739995999999999476e-07;6.363309999999999800e-02
7.740995999999999551e-07;6.365170000000000550e-02
7.741995999999999626e-07;6.497719999999999885e-02
7.742995999999999701e-07;6.353630000000000388e-02
7.743995999999999776e-07;6.441460000000000241e-02
7.744995999999999851e-07;6.404050000000000020e-02
7.745995999999999927e-07;6.436020000000000629e-02
7.746996000000000002e-07;6.456330000000000402e-02
7.747996000000000077e-07;6.440800000000000691e-02
7.748996000000000152e-07;6.441600000000000104e-02
7.749996000000000227e-07;6.437479999999999591e-02
7.750996000000000302e-07;6.439870000000000316e-02
7.751996000000000377e-07;6.349509999999999876e-02
7.752996000000000452e-07;6.485520000000000174e-02
7.753995999999999469e-07;6.442390000000000616e-02
7.754995999999999544e-07;6.485649999999999749e-02
7.755995999999999619e-07;6.446109999999999340e-02
7.756995999999999694e-07;6.357340000000000213e-02
7.757995999999999769e-07;6.439079999999999804e-02
7.758995999999999844e-07;6.440139999999999754e-02
7.759995999999999920e-07;6.435100000000000542e-02
7.760995999999999995e-07;6.439340000000000341e-02
7.761996000000000070e-07;6.400999999999999746e-02
7.762996000000000145e-07;6.491890000000000160e-02
7.763996000000000220e-07;6.527710000000000456e-02
7.764996000000000295e-07;6.386669999999999847e-02
7.765996000000000370e-07;6.438810000000000366e-02
7.766996000000000445e-07;6.349509999999999876e-02
7.767995999999999462e-07;6.529440000000000244e-02
7.768995999999999537e-07;6.523990000000000344e-02
7.769995999999999612e-07;6.466539999999999788e-02
7.770995999999999687e-07;6.411350000000000382e-02
7.771995999999999762e-07;6.431779999999999442e-02
7.772995999999999837e-07;6.468129999999999713e-02
7.773995999999999913e-07;6.502230000000000509e-02
7.774995999999999988e-07;6.478219999999999812e-02
7.775996000000000063e-07;6.471580000000000388e-02
7.776996000000000138e-07;6.471580000000000388e-02
7.777996000000000213e-07;6.445180000000000353e-02
7.778996000000000288e-07;6.444650000000000378e-02
7.779996000000000363e-07;6.440540000000000154e-02
7.780996000000000439e-07;6.437879999999999991e-02
7.781995999999999455e-07;6.437479999999999591e-02
7.782995999999999530e-07;6.412139999999999507e-02
7.783995999999999605e-07;6.404050000000000020e-02
7.784995999999999680e-07;6.426070000000000393e-02
7.785995999999999755e-07;6.433899999999999342e-02
7.786995999999999830e-07;6.415859999999999619e-02
7.787995999999999906e-07;6.408160000000000245e-02
7.788995999999999981e-07;6.429519999999999680e-02
7.789996000000000056e-07;6.434700000000000142e-02
7.790996000000000131e-07;6.436559999999999504e-02
7.791996000000000206e-07;6.410810000000000120e-02
7.792996000000000281e-07;6.434829999999999717e-02
7.793996000000000356e-07;6.443720000000000003e-02
7.794996000000000432e-07;6.356810000000000238e-02
7.795995999999999448e-07;6.490029999999999410e-02
7.796995999999999523e-07;6.440800000000000691e-02
7.797995999999999598e-07;6.346730000000000427e-02
7.798995999999999673e-07;6.365700000000000525e-02
7.799995999999999748e-07;6.272030000000000660e-02
7.800995999999999824e-07;6.464150000000000451e-02
7.801995999999999899e-07;6.320190000000000530e-02
7.802995999999999974e-07;6.412669999999999482e-02
7.803996000000000049e-07;6.419039999999999468e-02
7.804996000000000124e-07;6.314490000000000380e-02
7.805996000000000199e-07;6.414259999999999406e-02
7.806996000000000274e-07;6.367159999999999487e-02
7.807996000000000349e-07;6.319529999999999592e-02
7.808996000000000425e-07;6.454070000000000640e-02
7.809995999999999441e-07;6.410949999999999982e-02
7.810995999999999516e-07;6.274949999999999972e-02
7.811995999999999591e-07;6.376179999999999348e-02
7.812995999999999666e-07;6.327359999999999929e-02
7.813995999999999741e-07;6.229040000000000271e-02
7.814995999999999817e-07;6.491220000000000323e-02
7.815995999999999892e-07;6.314749999999999530e-02
7.816995999999999967e-07;6.457920000000000327e-02
7.817996000000000042e-07;6.372730000000000061e-02
7.818996000000000117e-07;6.313560000000000005e-02
7.819996000000000192e-07;6.425809999999999855e-02
7.820996000000000267e-07;6.318329999999999780e-02
7.821996000000000342e-07;6.233550000000000202e-02
7.822996000000000418e-07;6.434829999999999717e-02
7.823995999999999434e-07;6.415060000000000207e-02
7.824995999999999509e-07;6.401260000000000283e-02
7.825995999999999584e-07;6.373529999999999474e-02
7.826995999999999659e-07;6.327489999999999504e-02
7.827995999999999734e-07;6.409489999999999632e-02
7.828995999999999810e-07;6.326690000000000091e-02
7.829995999999999885e-07;6.368490000000000262e-02
7.830995999999999960e-07;6.250129999999999575e-02
7.831996000000000035e-07;6.328419999999999879e-02
7.832996000000000110e-07;6.462160000000000126e-02
7.833996000000000185e-07;6.449430000000000440e-02
7.834996000000000260e-07;6.409620000000000595e-02
7.835996000000000335e-07;6.361989999999999312e-02
7.836996000000000411e-07;6.410150000000000570e-02
7.837995999999999427e-07;6.274810000000000110e-02
7.838995999999999502e-07;6.415189999999999781e-02
7.839995999999999577e-07;6.370209999999999761e-02
7.840995999999999652e-07;6.446899999999999853e-02
7.841995999999999727e-07;6.415329999999999644e-02
7.842995999999999803e-07;6.441199999999999704e-02
7.843995999999999878e-07;6.410420000000000007e-02
7.844995999999999953e-07;6.436020000000000629e-02
7.845996000000000028e-07;6.407759999999999845e-02
7.846996000000000103e-07;6.400999999999999746e-02
7.847996000000000178e-07;6.428590000000000693e-02
7.848996000000000253e-07;6.434299999999999742e-02
7.849996000000000328e-07;6.409090000000000620e-02
7.850996000000000404e-07;6.434700000000000142e-02
7.851995999999999420e-07;6.410549999999999582e-02
7.852995999999999495e-07;6.401790000000000258e-02
7.853995999999999570e-07;6.365170000000000550e-02
7.854995999999999645e-07;6.435760000000000092e-02
7.855995999999999720e-07;6.405639999999999945e-02
7.856995999999999796e-07;6.362120000000000275e-02
7.857995999999999871e-07;6.365969999999999962e-02
7.858995999999999946e-07;6.366629999999999512e-02
7.859996000000000021e-07;6.395950000000000246e-02
7.860996000000000096e-07;6.373260000000000036e-02
7.861996000000000171e-07;6.367689999999999462e-02
7.862996000000000246e-07;6.395560000000000134e-02
7.863996000000000321e-07;6.403380000000000183e-02
7.864996000000000397e-07;6.357870000000000188e-02
7.865995999999999413e-07;6.495599999999999985e-02
7.866995999999999488e-07;6.361189999999999900e-02
7.867995999999999563e-07;6.399929999999999508e-02
7.868995999999999638e-07;6.366629999999999512e-02
7.869995999999999713e-07;6.315149999999999930e-02
7.870995999999999789e-07;6.457119999999999527e-02
7.871995999999999864e-07;6.403380000000000183e-02
7.872995999999999939e-07;6.397940000000000571e-02
7.873996000000000014e-07;6.450490000000000390e-02
7.874996000000000089e-07;6.368490000000000262e-02
7.875996000000000164e-07;6.400329999999999908e-02
7.876996000000000239e-07;6.405370000000000508e-02
7.877996000000000314e-07;6.363449999999999662e-02
7.878996000000000390e-07;6.365170000000000550e-02
7.879996000000000465e-07;6.366629999999999512e-02
7.880995999999999481e-07;6.295249999999999457e-02
7.881995999999999556e-07;6.332930000000000503e-02
7.882995999999999631e-07;6.387859999999999372e-02
7.883995999999999706e-07;6.237659999999999733e-02
7.884995999999999782e-07;6.383220000000000560e-02
7.885995999999999857e-07;6.382949999999999735e-02
7.886995999999999932e-07;6.237530000000000158e-02
7.887996000000000007e-07;6.253720000000000112e-02
7.888996000000000082e-07;6.385870000000000435e-02
7.889996000000000157e-07;6.338370000000000115e-02
7.890996000000000232e-07;6.202230000000000243e-02
7.891996000000000307e-07;6.304139999999999744e-02
7.892996000000000383e-07;6.385870000000000435e-02
7.893996000000000458e-07;6.376179999999999348e-02
7.894995999999999474e-07;6.374059999999999448e-02
7.895995999999999549e-07;6.413199999999999457e-02
7.896995999999999624e-07;6.366099999999999537e-02
7.897995999999999699e-07;6.233949999999999908e-02
7.898995999999999775e-07;6.386669999999999847e-02
7.899995999999999850e-07;6.335580000000000378e-02
7.900995999999999925e-07;6.328419999999999879e-02
7.901996000000000000e-07;6.302409999999999957e-02
7.902996000000000075e-07;6.294049999999999645e-02
7.903996000000000150e-07;6.296970000000000345e-02
7.904996000000000225e-07;6.416789999999999994e-02
7.905996000000000301e-07;6.417849999999999944e-02
7.906996000000000376e-07;6.364770000000000150e-02
7.907996000000000451e-07;6.448900000000000465e-02
7.908995999999999467e-07;6.369279999999999387e-02
7.909995999999999542e-07;6.323910000000000642e-02
7.910995999999999617e-07;6.332129999999999703e-02
7.911995999999999692e-07;6.290869999999999795e-02
7.912995999999999768e-07;6.367029999999999912e-02
7.913995999999999843e-07;6.410949999999999982e-02
7.914995999999999918e-07;6.451419999999999377e-02
7.915995999999999993e-07;6.370209999999999761e-02
7.916996000000000068e-07;6.402320000000000233e-02
7.917996000000000143e-07;6.406169999999999920e-02
7.918996000000000218e-07;6.470389999999999475e-02
7.919996000000000294e-07;6.442789999999999628e-02
7.920996000000000369e-07;6.473840000000000150e-02
7.921996000000000444e-07;6.404709999999999570e-02
7.922995999999999460e-07;6.471190000000000275e-02
7.923995999999999535e-07;6.480339999999999712e-02
7.924995999999999610e-07;6.434700000000000142e-02
7.925995999999999686e-07;6.435889999999999667e-02
7.926995999999999761e-07;6.396880000000000621e-02
7.927995999999999836e-07;6.276539999999999897e-02
7.928995999999999911e-07;6.366760000000000475e-02
7.929995999999999986e-07;6.420499999999999818e-02
7.930996000000000061e-07;6.261010000000000186e-02
7.931996000000000136e-07;6.471720000000000250e-02
7.932996000000000211e-07;6.361060000000000325e-02
7.933996000000000287e-07;6.356939999999999813e-02
7.934996000000000362e-07;6.330810000000000604e-02
7.935996000000000437e-07;6.404310000000000558e-02
7.936995999999999453e-07;6.489630000000000398e-02
7.937995999999999528e-07;6.402589999999999670e-02
7.938995999999999603e-07;6.359199999999999575e-02
